"id","name","code_prefix_start","code_prefix_end"
"py_1","ACTIVO","1","1"
"py_2","PASIVO","2","2"
"py_3","PATRIMONIO NETO","3","3"
"py_4","INGRESOS","4","4"
"py_5","COSTOS","5","5"
"py_6","OTROS INGRESOS","6","6"
"py_7","GASTOS","7","7"
"py_1_01","ACTIVO CORRIENTE","1.01","1.01"
"py_1_01_01","DISPONIBILIDADES","1.01.01","1.01.01"
"py_1_01_02","INVERSIONES TEMPORARIAS","1.01.02","1.01.02"
"py_1_01_03","CRÉDITOS","1.01.03","1.01.03"
"py_1_01_03_05","CRÉDITOS POR IMPUESTOS CORRIENTES","1.01.03.05","1.01.03.05"
"py_1_01_03_06","ANTICIPO A PROVEEDORES","1.01.03.06","1.01.03.06"
"py_1_01_04","INVENTARIOS","1.01.04","1.01.04"
"py_1_01_04_01","MERCADERÍAS","1.01.04.01","1.01.04.01"
"py_1_01_04_02","MERCADERÍAS REGÍMENES ESPECIALES","1.01.04.02","1.01.04.02"
"py_1_01_04_03","PRODUCTOS TERMINADOS","1.01.04.03","1.01.04.03"
"py_1_01_05","GASTOS PAGADOS POR ADELANTADO","1.01.05","1.01.05"
"py_1_01_06","OTROS ACTIVOS","1.01.06","1.01.06"
"py_1_02","ACTIVO NO CORRIENTE","1.02","1.02"
"py_1_02_01","CRÉDITOS A LARGO PLAZO","1.02.01","1.02.01"
"py_1_02_02","INVENTARIOS A REALIZAR A LARGO PLAZO","1.02.02","1.02.02"
"py_1_02_03","INVERSIONES A LARGO PLAZO","1.02.03","1.02.03"
"py_1_02_04","PROPIEDAD, PLANTA Y EQUIPO","1.02.04","1.02.04"
"py_1_02_05","OTROS ACTIVOS A LARGO PLAZO","1.02.05","1.02.05"
"py_1_02_06","CARGOS DIFERIDOS","1.02.06","1.02.06"
"py_1_02_07","ACTIVOS INTANGIBLES","1.02.07","1.02.07"
"py_2_01","PASIVO CORRIENTE","2.01","2.01"
"py_2_01_01","ACREEDORES COMERCIALES","2.01.01","2.01.01"
"py_2_01_02","DEUDAS FINANCIERAS","2.01.02","2.01.02"
"py_2_01_03","OTRAS CUENTAS POR PAGAR","2.01.03","2.01.03"
"py_2_01_04","PROVISIONES","2.01.04","2.01.04"
"py_2_01_05","INGRESOS DIFERIDOS","2.01.05","2.01.05"
"py_2_02","PASIVO  NO CORRIENTE","2.02","2.02"
"py_2_02_01","ACREEDORES COMERCIALES A LARGO PLAZO","2.02.01","2.02.01"
"py_2_02_02","DEUDAS FINANCIERAS A LARGO PLAZO","2.02.02","2.02.02"
"py_2_02_03","OTRAS CUENTAS POR PAGAR","2.02.03","2.02.03"
"py_2_02_04","PROVISIONES PARA OBLIGACIONES A LARGO PLAZO","2.02.04","2.02.04"
"py_2_02_05","INGRESOS DIFERIDOS A LARGO PLAZO","2.02.05","2.02.05"
"py_3_01","CAPITAL","3.01","3.01"
"py_3_01_01","CAPITAL INTEGRADO","3.01.01","3.01.01"
"py_3_02","RESERVAS","3.02","3.02"
"py_3_02_01","RESERVA LEGAL","3.02.01","3.02.01"
"py_3_02_02","RESERVA DE REVALÚO","3.02.02","3.02.02"
"py_3_02_03","OTRAS RESERVAS","3.02.03","3.02.03"
"py_3_03","RESULTADOS","3.03","3.03"
"py_3_03_01","RESULTADOS","3.03.01","3.03.01"
"py_4_01","VENTAS DE MERCADERÍAS","4.01","4.01"
"py_4_01_01","VENTAS DE MERCADERÍAS","4.01.01","4.01.01"
"py_4_02","VENTAS DE PRODUCTOS AGRÍCOLAS","4.02","4.02"
"py_4_02_01","VENTAS DE PRODUCTOS AGRÍCOLAS","4.02.01","4.02.01"
"py_4_03","VENTAS DE GANADO","4.03","4.03"
"py_4_03_01","VENTAS DE GANADO","4.03.01","4.03.01"
"py_4_04","VENTAS DE PRODUCTOS FRUTÍCOLAS Y HORTÍCOLAS","4.04","4.04"
"py_4_04_01","VENTAS DE PRODUCTOS FRUTÍCOLAS Y HORTÍCOLAS","4.04.01","4.04.01"
"py_4_05","VENTAS DE PRODUCTOS DE LA EXPLOTACIÓN FORESTAL","4.05","4.05"
"py_4_05_01","VENTAS DE PRODUCTOS DE LA EXPLOTACIÓN FORESTAL","4.05.01","4.05.01"
"py_4_06","EXPORTACIONES DE PRODUCTOS AGRÍCOLAS EXPORTADOS","4.06","4.06"
"py_4_06_01","EXPORTACIONES DE SOJA Y SUS DERIVADOS","4.06.01","4.06.01"
"py_4_06_02","EXPORTACIONES DE OTROS PRODUCTOS AGRÍCOLAS","4.06.02","4.06.02"
"py_4_07","EXPORTACIONES DE BIENES INDUSTRIALIZADOS","4.07","4.07"
"py_4_07_01","EXPORTACIONES DE PRODUCTOS FARMACÉUTICOS","4.07.01","4.07.01"
"py_4_07_02","EXPORTACIONES DE MAQUINARIAS Y EQUIPOS","4.07.02","4.07.02"
"py_4_07_03","EXPORTACIONES DE OTROS PRODUCTOS INDUSTRIALIZADOS","4.07.03","4.07.03"
"py_4_08","EXPORTACIONES DE OTROS PRODUCTOS","4.08","4.08"
